GEO_ID,NAME,S0101_C01_001E
34001,"Atlantic County, New Jersey",266105
34003,"Bergen County, New Jersey",930390
34005,"Burlington County, New Jersey",445702
34007,"Camden County, New Jersey",506738
34009,"Cape May County, New Jersey",93086
34011,"Cumberland County, New Jersey",151906
34013,"Essex County, New Jersey",795404
34015,"Gloucester County, New Jersey",291165
34017,"Hudson County, New Jersey",670046
34019,"Hunterdon County, New Jersey",124823
34021,"Mercer County, New Jersey",367922
34023,"Middlesex County, New Jersey",825920
34025,"Monmouth County, New Jersey",621659
34027,"Morris County, New Jersey",493379
34029,"Ocean County, New Jersey",596415
34031,"Passaic County, New Jersey",503637
34033,"Salem County, New Jersey",62990
34035,"Somerset County, New Jersey",329838
34037,"Sussex County, New Jersey",141483
34039,"Union County, New Jersey",554033
34041,"Warren County, New Jersey",105862
