GEO_ID,NAME,S1401_C01_001E
34001,"Atlantic County, New Jersey",65348
34003,"Bergen County, New Jersey",225951
34005,"Burlington County, New Jersey",107173
34007,"Camden County, New Jersey",126100
34009,"Cape May County, New Jersey",17400
34011,"Cumberland County, New Jersey",35808
34013,"Essex County, New Jersey",209452
34015,"Gloucester County, New Jersey",74271
34017,"Hudson County, New Jersey",149916
34019,"Hunterdon County, New Jersey",29329
34021,"Mercer County, New Jersey",97811
34023,"Middlesex County, New Jersey",219151
34025,"Monmouth County, New Jersey",152904
34027,"Morris County, New Jersey",123086
34029,"Ocean County, New Jersey",146281
34031,"Passaic County, New Jersey",131469
34033,"Salem County, New Jersey",14303
34035,"Somerset County, New Jersey",83243
34037,"Sussex County, New Jersey",33020
34039,"Union County, New Jersey",139721
34041,"Warren County, New Jersey",24799
