COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS
California County,2015,Total population,All ages,All ages,"27,262"
Alameda County,2015,Total population,All ages,All ages,"1,435"
Alpine County,2015,Total population,All ages,All ages,0
Amador County,2015,Total population,All ages,All ages,28
Butte County,2015,Total population,All ages,All ages,143
Calaveras County,2015,Total population,All ages,All ages,32
Colusa County,2015,Total population,All ages,All ages,7
Contra Costa County,2015,Total population,All ages,All ages,910
Del Norte County,2015,Total population,All ages,All ages,7
El Dorado County,2015,Total population,All ages,All ages,66
Fresno County,2015,Total population,All ages,All ages,"1,100"
Glenn County,2015,Total population,All ages,All ages,13
Humboldt County,2015,Total population,All ages,All ages,73
Imperial County,2015,Total population,All ages,All ages,173
Inyo County,2015,Total population,All ages,All ages,6
Kern County,2015,Total population,All ages,All ages,657
Kings County,2015,Total population,All ages,All ages,142
Lake County,2015,Total population,All ages,All ages,59
Lassen County,2015,Total population,All ages,All ages,32
Los Angeles County,2015,Total population,All ages,All ages,"8,544"
Madera County,2015,Total population,All ages,All ages,107
Marin County,2015,Total population,All ages,All ages,78
Mariposa County,2015,Total population,All ages,All ages,7
Mendocino County,2015,Total population,All ages,All ages,28
Merced County,2015,Total population,All ages,All ages,215
Modoc County,2015,Total population,All ages,All ages,12
Mono County,2015,Total population,All ages,All ages,
Monterey County,2015,Total population,All ages,All ages,270
Napa County,2015,Total population,All ages,All ages,54
Nevada County,2015,Total population,All ages,All ages,56
Orange County,2015,Total population,All ages,All ages,"1,713"
Placer County,2015,Total population,All ages,All ages,147
Plumas County,2015,Total population,All ages,All ages,10
Riverside County,2015,Total population,All ages,All ages,"1,311"
Sacramento County,2015,Total population,All ages,All ages,"1,138"
San Benito County,2015,Total population,All ages,All ages,27
San Bernardino County,2015,Total population,All ages,All ages,"1,717"
San Diego County,2015,Total population,All ages,All ages,"1,927"
San Francisco County,2015,Total population,All ages,All ages,595
San Joaquin County,2015,Total population,All ages,All ages,457
San Luis Obispo County,2015,Total population,All ages,All ages,111
San Mateo County,2015,Total population,All ages,All ages,370
Santa Barbara County,2015,Total population,All ages,All ages,175
Santa Clara County,2015,Total population,All ages,All ages,"1,089"
Santa Cruz County,2015,Total population,All ages,All ages,104
